Title
johnny depp vs mr. rOtTeNbORn returns.
Is Mr. Rottenborn aware that Johnny Depp is not on trial for drug use.
Congrats! You proved Amber Heard abused Johnny Depp to the point he wanted to hurt himself.
I hope Johnny Depp enjoys his weekend because Lord knows thay man deserves it.
Pirates of the Caribbean star Johnny Depp confirmed he will never return as Captain Jack Sparrow.
Can we all agree that Johnny Depp is one of the greatest actor in the world.
WB fired Johnny Depp from Fantastic Beasts and now the movie is failing worldwide. We call it poetic Justice.
Johnny Depp crying
Famous People and celebrities who are showing publicly their support to Johnny Depp. Thank you.
Johnny Depp’s reaction to the court finally getting to hear the audio tape in which Amber Heard admits to abusing him.
